Date,Apple Inc.,Microsoft Corporation,"Tesla, Inc.","Waste Management, Inc.","Republic Services, Inc.",Canadian National Railway,Ecolab Inc,"Waste Connections, Inc.",NVIDIA Corp
Date,Close,Close,Close,Close,Close,Close,Close,Close,Close
2/1/2023 16:00:00,145.43,252.75,181.41,154.41,124.79,17.5,155.73,133.02,145.43
2/2/2023 16:00:00,150.82,264.6,188.27,150.34,122.54,17.25,159.32,131.97,150.82
2/3/2023 16:00:00,154.5,258.35,189.98,151.06,123.08,17.25,153.29,132.23,154.5
2/6/2023 16:00:00,151.73,256.77,194.76,151.82,123.89,17.25,151.69,132.93,151.73
2/7/2023 16:00:00,154.65,267.56,196.81,151.33,124.29,17.13,152.29,133.37,154.65
2/8/2023 16:00:00,151.92,266.73,201.29,150.86,124.42,16.75,151.22,133.47,151.92
2/9/2023 16:00:00,150.87,263.62,207.32,152.28,125.44,16.75,145.77,133.68,150.87
2/10/2023 16:00:00,151.01,263.1,196.89,154.07,127.36,16.75,146.02,135.32,151.01
2/13/2023 16:00:00,153.85,271.32,194.64,152.78,126.04,16.75,147.89,134.66,153.85
2/14/2023 16:00:00,153.2,272.17,209.25,151.34,124.86,16.75,158.4,134.68,153.2
2/15/2023 16:00:00,155.33,269.32,214.24,152.14,125.81,16.75,163.95,135.53,155.33
2/16/2023 16:00:00,153.71,262.15,202.04,152.27,129.99,16.75,161.99,136.36,153.71
2/17/2023 16:00:00,152.55,258.06,208.31,154.92,131.96,16.75,162.41,136.11,152.55
2/21/2023 16:00:00,148.48,252.67,197.37,152.54,130.32,16.75,158.19,135.26,148.48
2/22/2023 16:00:00,148.91,251.51,200.86,152.15,129.24,16.5,159.24,135.96,148.91
2/23/2023 16:00:00,149.4,254.77,202.07,150.98,128.72,16.3,158.8,134.79,149.4
2/24/2023 16:00:00,146.71,249.22,196.88,151.31,129.61,17,158.58,134.13,146.71
2/27/2023 16:00:00,147.92,250.16,207.63,151.07,129.25,17,159.76,135.95,147.92
2/28/2023 16:00:00,147.41,249.42,205.71,149.76,128.93,16.75,159.37,133.92,147.41
3/1/2023 16:00:00,145.31,246.27,202.77,148.83,128.62,16.1,158.52,133.44,145.31
3/2/2023 16:00:00,145.91,251.11,190.9,150,129.13,16.25,161.93,133.69,145.91
3/3/2023 16:00:00,151.03,255.29,197.79,150.08,128.94,16.25,163.4,134.14,151.03
3/6/2023 16:00:00,153.83,256.87,193.81,150.77,129.43,16.25,161,135.4,153.83
3/7/2023 16:00:00,151.6,254.15,187.71,149.4,127.6,16.25,157.82,133.26,151.6
3/8/2023 16:00:00,152.87,253.7,182,149.9,127.98,16.25,159.74,133.21,152.87
3/9/2023 16:00:00,150.59,252.32,172.92,150.62,128.32,15.75,157.65,132.38,150.59
3/10/2023 16:00:00,148.5,248.59,173.44,149.33,127.05,16,158.07,131.04,148.5
3/13/2023 16:00:00,150.47,253.92,174.48,151.24,128.4,15.75,157.8,132.61,150.47
3/14/2023 16:00:00,152.59,260.79,183.26,154.36,132.03,18,160.59,134.98,152.59
3/15/2023 16:00:00,152.99,265.44,180.45,155.06,132.8,21,159.23,135.04,152.99
3/16/2023 16:00:00,155.85,276.2,184.13,155.61,133.57,24,158.77,136.08,155.85
3/17/2023 16:00:00,155,279.43,180.13,153.15,130.73,23,154.58,134.36,155
3/20/2023 16:00:00,157.4,272.23,183.25,154.87,131.77,23.75,156.29,135.5,157.4
3/21/2023 16:00:00,159.28,273.78,197.58,154.51,130.61,25.5,157.79,133.33,159.28
3/22/2023 16:00:00,157.83,272.29,191.15,152.09,129.47,23.5,155.61,132.19,157.83
3/23/2023 16:00:00,158.93,277.66,192.22,150.7,127.96,23.5,157.04,131.15,158.93
3/24/2023 16:00:00,160.25,280.57,190.41,154.46,130.92,22.4,160.36,133.62,160.25
3/27/2023 16:00:00,158.28,276.38,191.81,153.58,130.49,22.5,160.21,133.45,158.28
3/28/2023 16:00:00,157.65,275.23,189.19,154.82,131.31,22.5,160.18,134.83,157.65
3/29/2023 16:00:00,160.77,280.51,193.88,157.04,132.96,23,162.23,136.07,160.77
3/30/2023 16:00:00,162.36,284.05,195.28,161.53,134.85,23.25,163.28,138.02,162.36
3/31/2023 16:00:00,164.9,288.3,207.46,163.17,135.22,23,165.53,139.07,164.9
4/3/2023 16:00:00,166.17,287.23,194.77,163.87,136.13,25.25,166.02,139.46,166.17
4/4/2023 16:00:00,165.63,287.18,192.58,163.53,136.12,27.5,164.87,138.42,165.63
4/5/2023 16:00:00,163.76,284.34,185.52,162.82,135.23,27.75,166.1,137.09,163.76
4/6/2023 16:00:00,164.66,291.6,185.06,163.66,135.7,27.5,167.04,137.83,164.66
4/10/2023 16:00:00,162.03,289.39,184.51,162.28,134.95,28.25,165.96,138.29,162.03
4/11/2023 16:00:00,160.8,282.83,186.79,163.14,135.06,30.75,165.14,140.03,160.8
4/12/2023 16:00:00,160.1,283.49,180.54,165.5,136.98,30.25,164.25,142.42,160.1
4/13/2023 16:00:00,165.56,289.84,185.9,166.85,138.09,31,166.75,143.95,165.56
4/14/2023 16:00:00,165.21,286.14,185,165.3,137.37,32.5,164.37,143.1,165.21
4/17/2023 16:00:00,165.23,288.8,187.04,165.4,138.67,31.75,163.95,143.93,165.23
4/18/2023 16:00:00,166.47,288.37,184.31,165.38,137.64,33.5,164.29,142.97,166.47
4/19/2023 16:00:00,167.63,288.45,180.59,165.1,137.54,33.75,164.66,142.97,167.63
4/20/2023 16:00:00,166.65,286.11,162.99,165.7,138.33,34,164.35,143.76,166.65
4/21/2023 16:00:00,165.02,285.76,165.08,165.15,138.61,33.75,165.6,145.1,165.02
4/24/2023 16:00:00,165.33,281.77,162.55,165.67,139.1,34.5,166.08,142.13,165.33
4/25/2023 16:00:00,163.77,275.42,160.67,165.57,138.88,33.5,164.3,141.3,163.77
4/26/2023 16:00:00,163.76,295.37,153.75,163.61,137.25,32.75,162.58,140.22,163.76
4/27/2023 16:00:00,168.41,304.83,160.19,161.63,137.69,33.5,166.16,136.94,168.41
4/28/2023 16:00:00,169.68,307.26,164.31,166.05,144.62,33.25,167.84,139.15,169.68
5/1/2023 16:00:00,169.59,305.56,161.83,166.79,144.98,32.75,168.78,139.15,169.59
5/2/2023 16:00:00,168.54,305.41,160.31,166.71,144.96,30.75,174.28,139.06,168.54
5/3/2023 16:00:00,167.45,304.4,160.61,167.32,146.03,32,173.34,138.98,167.45
5/4/2023 16:00:00,165.79,305.41,161.2,167.81,145.81,32.5,172.36,139.32,165.79
5/5/2023 16:00:00,173.57,310.65,170.06,168.43,145.86,32,173.67,140.82,173.57
5/8/2023 16:00:00,173.5,308.65,171.79,169.03,145.84,33.75,172.83,141.9,173.5
5/9/2023 16:00:00,171.77,307,169.15,169.46,146.99,32.5,172.85,142.76,171.77
5/10/2023 16:00:00,173.56,312.31,168.54,170.55,148.09,31,174.93,144.87,173.56
5/11/2023 16:00:00,173.75,310.11,172.08,170.19,148.12,30.5,174.22,143.59,173.75
5/12/2023 16:00:00,172.57,308.97,167.98,169.24,148.19,29.5,174.19,143.89,172.57
5/15/2023 16:00:00,172.07,309.46,166.35,168.58,147.81,28.75,173.75,143.61,172.07
5/16/2023 16:00:00,172.07,311.74,166.52,167.73,146.74,29.25,172.56,142.14,172.07
5/17/2023 16:00:00,172.69,314,173.86,166.72,145.54,29.5,174.45,140.6,172.69
5/18/2023 16:00:00,175.05,318.52,176.89,165,144.71,30,174.95,139.44,175.05
5/19/2023 16:00:00,175.16,318.34,180.14,165.36,145.09,30.25,175.27,140.3,175.16
5/22/2023 16:00:00,174.2,321.18,188.87,164.3,143.96,30,172.99,139.29,174.2
5/23/2023 16:00:00,171.56,315.26,185.77,162.78,142.7,29.75,167.53,137.55,171.56
